relative_label,top_folder,extension,category,size_mb,size_bucket,study_signal
4-材质贴图（按需下载）/4-材质贴图（按需下载）.zip,4-材质贴图（按需下载）,.zip,material_texture,638.961,large,unpack selectively before study; do not publish raw archive content
4-材质贴图（按需下载）/Bridge无限资源分享指引.rar,4-材质贴图（按需下载）,.rar,material_texture,74.006,medium,unpack selectively before study; do not publish raw archive content
4-材质贴图（按需下载）/材质300个.rar,4-材质贴图（按需下载）,.rar,material_texture,268.399,large,unpack selectively before study; do not publish raw archive content
4-材质贴图（按需下载）/电气电子风格凹凸位移贴图90个.rar,4-材质贴图（按需下载）,.rar,material_texture,199.669,medium,unpack selectively before study; do not publish raw archive content
4-材质贴图（按需下载）/贴图313个.rar,4-材质贴图（按需下载）,.rar,material_texture,96.902,medium,unpack selectively before study; do not publish raw archive content
5-Hdr环境/HDR-108个.rar,5-Hdr环境,.rar,lighting_environment,777.589,large,unpack selectively before study; do not publish raw archive content
5-Hdr环境/HDR-108个/HDR-108个/006.hdr,5-Hdr环境,.hdr,lighting_environment,6.773,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/010.hdr,5-Hdr环境,.hdr,lighting_environment,16.848,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/023.hdr,5-Hdr环境,.hdr,lighting_environment,14.811,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/029.hdr,5-Hdr环境,.hdr,lighting_environment,3.666,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/034.hdr,5-Hdr环境,.hdr,lighting_environment,5.193,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/044.hdr,5-Hdr环境,.hdr,lighting_environment,14.495,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/07_Ref.hdr,5-Hdr环境,.hdr,lighting_environment,3.994,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/59c733371eb57.tif,5-Hdr环境,.tif,lighting_environment,51.506,medium,"study texture role: base color, roughness, normal, bump, opacity, or decals"
5-Hdr环境/HDR-108个/HDR-108个/Grad4.tif,5-Hdr环境,.tif,lighting_environment,44.44,medium,"study texture role: base color, roughness, normal, bump, opacity, or decals"
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_001.exr,5-Hdr环境,.exr,lighting_environment,43.212,medium,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_001_sm.exr,5-Hdr环境,.exr,lighting_environment,3.837,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_002.exr,5-Hdr环境,.exr,lighting_environment,8.585,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_002_sm.exr,5-Hdr环境,.exr,lighting_environment,0.878,tiny,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_003.exr,5-Hdr环境,.exr,lighting_environment,21.19,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_003_sm.exr,5-Hdr环境,.exr,lighting_environment,2.204,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_004.exr,5-Hdr环境,.exr,lighting_environment,24.526,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_004_sm.exr,5-Hdr环境,.exr,lighting_environment,2.456,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_005.exr,5-Hdr环境,.exr,lighting_environment,24.65,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_005_sm.exr,5-Hdr环境,.exr,lighting_environment,2.498,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_006.exr,5-Hdr环境,.exr,lighting_environment,13.306,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_006_sm.exr,5-Hdr环境,.exr,lighting_environment,1.578,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_007.exr,5-Hdr环境,.exr,lighting_environment,16.448,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_007_sm.exr,5-Hdr环境,.exr,lighting_environment,1.904,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_008.exr,5-Hdr环境,.exr,lighting_environment,17.445,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_008_sm.exr,5-Hdr环境,.exr,lighting_environment,2.079,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_009.exr,5-Hdr环境,.exr,lighting_environment,12.195,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_009_sm.exr,5-Hdr环境,.exr,lighting_environment,1.462,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_010.exr,5-Hdr环境,.exr,lighting_environment,4.697,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_010_sm.exr,5-Hdr环境,.exr,lighting_environment,0.417,tiny,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_011.exr,5-Hdr环境,.exr,lighting_environment,5.889,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_011_sm.exr,5-Hdr环境,.exr,lighting_environment,0.562,tiny,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_012.exr,5-Hdr环境,.exr,lighting_environment,22.584,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_012_sm.exr,5-Hdr环境,.exr,lighting_environment,1.981,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_013.exr,5-Hdr环境,.exr,lighting_environment,6.491,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_013_sm.exr,5-Hdr环境,.exr,lighting_environment,0.585,tiny,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_014.exr,5-Hdr环境,.exr,lighting_environment,12.774,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_014_sm.exr,5-Hdr环境,.exr,lighting_environment,1.176,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_015.exr,5-Hdr环境,.exr,lighting_environment,10.596,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_015_sm.exr,5-Hdr环境,.exr,lighting_environment,0.91,tiny,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_016.exr,5-Hdr环境,.exr,lighting_environment,12.263,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_016_sm.exr,5-Hdr环境,.exr,lighting_environment,1.198,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_017.exr,5-Hdr环境,.exr,lighting_environment,11.55,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_017_sm.exr,5-Hdr环境,.exr,lighting_environment,1.139,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_018.exr,5-Hdr环境,.exr,lighting_environment,12.272,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_018_sm.exr,5-Hdr环境,.exr,lighting_environment,1.083,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_019.exr,5-Hdr环境,.exr,lighting_environment,15.357,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_019_sm.exr,5-Hdr环境,.exr,lighting_environment,1.313,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_020.exr,5-Hdr环境,.exr,lighting_environment,9.61,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_020_sm.exr,5-Hdr环境,.exr,lighting_environment,0.762,tiny,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_021.exr,5-Hdr环境,.exr,lighting_environment,5.063,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_021_sm.exr,5-Hdr环境,.exr,lighting_environment,0.395,tiny,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_022.exr,5-Hdr环境,.exr,lighting_environment,11.066,small,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_022_sm.exr,5-Hdr环境,.exr,lighting_environment,0.94,tiny,use as world lighting reference for reflective and cinematic renders
5-Hdr环境/HDR-108个/HDR-108个/GSG_PRO_STUDIOS_METAL_023.exr,5-Hdr环境,.exr,lighting_environment,14.537,small,use as world lighting reference for reflective and cinematic renders
